No.,IPK,JML_TANGGUNGAN,PENGHASILAN,Status,
1,3.66,3,500000,Ditolak,
2,3.5,2,2374100,Ditolak,
3,3.27,2,1800000,Ditolak,
4,3.38,3,277000,Ditolak,
5,3.01,4,400000,Ditolak,
6,3.47,7,900000,Ditolak,
7,3.53,4,1268000,Ditolak,
8,3.46,4,5000000,Ditolak,
9,3.4,3,5000000,Ditolak,
10,3.97,1,1269978,Diterima,
11,3.67,4,1000000,Diterima,
12,3.33,2,4103700,Diterima,
13,3.18,4,2000000,Ditolak,
14,3.27,3,2000000,Ditolak,
15,3.03,7,500000,Ditolak,
16,3.26,5,1000000,Ditolak,
17,3.5,3,4616300,Ditolak,
18,3.43,3,3742694,Ditolak,
19,3.62,4,5000000,Ditolak,
20,3.69,5,2000000,Ditolak,
21,3.11,4,450000,Ditolak,
22,3.43,3,2500000,Ditolak,
23,3.17,5,4947400,Ditolak,
24,3.63,4,4080000,Ditolak,
25,3.32,3,4908700,Ditolak,
26,3.45,4,5042845,Ditolak,
27,3.77,3,1500000,Diterima,
28,3.05,4,2000000,Ditolak,
29,3.03,1,500000,Ditolak,
30,3.51,5,4145100,Ditolak,
31,3.38,3,2500000,Ditolak,
32,4,1,4275700,Diterima,
33,3.82,2,3600000,Ditolak,
34,3.63,3,3543000,Ditolak,
35,3.64,8,6000000,Ditolak,
36,3.79,7,2000000,Ditolak,
37,3.95,3,30000000,Diterima,
38,3.92,2,1000000,Ditolak,
39,3.34,1,2920500,Ditolak,
40,3.66,4,2700000,Ditolak,
41,3.74,3,3722200,Ditolak,
42,3.54,5,1000000,Ditolak,
43,3.74,3,960000,Ditolak,
44,3.47,1,700000,Ditolak,
45,3.08,4,4102400,Ditolak,
46,3.55,8,4440000,Ditolak,
47,3.14,4,3500000,Ditolak,
48,3.15,2,300000,Ditolak,
49,3.2,3,191500,Ditolak,
50,3.01,4,2117800,Ditolak,
51,3.3,2,5000000,Ditolak,
52,3.92,2,2270000,Diterima,
53,3.74,3,4408500,Ditolak,
54,3.38,4,1000000,Ditolak,
55,3.52,6,5000000,Diterima,
56,3.61,2,1357600,Ditolak,
57,3.68,3,3000000,Ditolak,
58,3.34,3,3900000,Ditolak,
59,3.24,4,4523800,Ditolak,
60,3.15,5,3039600,Ditolak,
61,3.38,3,20000000,Ditolak,
62,3.18,3,20000000,Ditolak,
63,3.18,4,750000,Ditolak,
64,3.49,2,4850900,Diterima,
65,3.13,4,3000000,Ditolak,
66,3.32,3,4752000,Ditolak,
67,3.62,5,3000000,Ditolak,
68,3.45,3,1500000,Ditolak,
69,3.34,4,2150000,Ditolak,
70,4,4,2399500,Diterima,
71,3.32,3,4497300,Ditolak,
72,3.44,2,1500000,Diterima,
73,3.7,6,3000000,Diterima,
74,3.56,33,826500,Diterima,
75,3,3,2000000,Ditolak,
76,3.39,3,46111100,Ditolak,
77,3.58,5,30000000,Ditolak,
78,3.66,5,1000000,Ditolak,
79,3.13,2,1600000,Ditolak,
80,3.13,2,500000,Ditolak,
81,3.39,3,7500000,Ditolak,
82,3.34,3,1750000,Ditolak,
83,3.33,3,1500000,Ditolak,
84,3.25,4,2000000,Ditolak,
85,3.5,4,3000000,Ditolak,
86,3.03,4,2000000,Ditolak,
87,3.39,2,2000000,Ditolak,
88,3.79,3,2000000,Ditolak,
89,3.45,2,2677900,Ditolak,
90,3.61,5,1450000,Ditolak,
91,3.68,3,2000000,Ditolak,
92,3.21,4,1000000,Ditolak,
93,3.53,5,1000000,Ditolak,
94,3.23,6,1000000,Ditolak,
95,3.28,3,500000,Ditolak,
96,3.12,6,5000000,Ditolak,
97,3.63,6,500000,Ditolak,
98,3.25,2,3018000,Ditolak,
99,3.39,2,6000000,Ditolak,
100,3.14,3,3000000,Ditolak,
101,3.14,3,2095600,Ditolak,
102,3.21,6,500000,Ditolak,
103,3.42,6,1000000,Ditolak,
104,3.32,6,7300800,Ditolak,
105,3.21,5,1000000,Ditolak,
106,3.39,5,1000000,Ditolak,
107,4,2,2000000,Ditolak,
108,3.23,4,500000,Ditolak,
109,3.26,7,1000000,Ditolak,
110,3.7,5,800000,Ditolak,
111,2.88,4,2500000,Ditolak,
112,3.34,5,500000,Ditolak,
113,3.59,3,500000,Ditolak,
114,3.23,5,4254000,Ditolak,
115,3.12,5,1500000,Ditolak,
116,3.24,3,500000,Ditolak,
117,3.53,4,500000,Ditolak,
118,3.85,5,3800000,Ditolak,
119,3.38,4,2000000,Ditolak,
120,3.51,5,1000000,Diterima,
121,3.87,3,500000,Ditolak,
122,3.61,4,2090000,Diterima,
123,3.37,5,1500000,Ditolak,
124,3.47,4,500000,Ditolak,
125,3.39,2,3000000,Ditolak,
126,3.55,4,3666900,Ditolak,
127,4,2,1898680,Diterima,
128,3.8,2,560000,Ditolak,
129,3.29,2,1500000,Ditolak,
130,3.04,2,1500000,Diterima,
131,3.39,2,750000,Ditolak,
132,3.74,5,5000000,Ditolak,
133,3.84,4,5000000,Ditolak,
134,3.38,4,700000,Ditolak,
135,3.41,9,2000000,Ditolak,
136,3.19,3,4000000,Ditolak,
137,3.08,4,750000,Ditolak,
138,3.36,3,600000,Diterima,
139,3.05,4,3600000,Ditolak,
140,3.07,2,3000000,Ditolak,
141,3.25,2,1800000,Diterima,
142,3.34,3,3000000,Ditolak,
143,3.69,2,950000,Diterima,
144,3.37,3,2800000,Ditolak,
145,3.62,3,2500000,Ditolak,
146,3.34,4,3000000,Ditolak,
147,3.7,5,2000000,Diterima,
148,3.39,3,4381900,Ditolak,
149,3.63,3,550000,Ditolak,
150,3.51,4,3000000,Diterima,
151,3.43,3,1000000,Ditolak,
152,3.48,4,2200000,Ditolak,
153,3.54,2,3086400,Ditolak,
154,3.76,2,2500000,Diterima,
155,3.45,4,3000000,Ditolak,
156,3.38,4,1000000,Ditolak,
